description,_golden,fav_number,link_color,name,profileimage,retweet_count,sidebar_color,text,tweet_coord,tweet_count,tweet_created,tweet_id,tweet_location,user_timezone,is_this_funny_or_not_gold,is_this_funny_or_not_gold_reason
SHE/HER,,93,E81C4F,lNMYJORDANS,https://pbs.twimg.com/profile_images/1131700571092717568/wdyXmXFh_normal.jpg,0,0,a gulp of coke lmao https://t.co/hohhQp29Kr,,103,2019-06-03 23:17:56 UTC,1135687089406849024,NOLA,,,
Heyo nigguhs *smile* follow for a follow back!! #imperfect #young #wild #coolkid #believer #swifter #smiler #directioner #Jelena #Dreamer,,421,00BEA3,MileySarah,https://pbs.twimg.com/profile_images/590438412022370304/VhsgqKwv_normal.jpg,0,FF9800,"I shall go bite on a big chicken leg and wash it down with some diet coke and ignore all yall dumb asses tryna get attention. .

#PeaceOutt",,2499,2019-06-03 23:17:17 UTC,1135686923853410304,georgetown guyana,,,
"Manager of Information Technology for Medical Management Plus, LLC",,25895,1DA1F2,jfmoody56,https://pbs.twimg.com/profile_images/729855549643362304/QHhl1kce_normal.jpg,0,C0DEED,Switch to 100% stevia instead of aspartame for diet drinks.  Splenda Diet Coke is my current favorite but not avail… https://t.co/QnxEzVp0EV,,19227,2019-06-03 23:17:00 UTC,1135686851153543168,"Hoover, Alabama, USA",,,
SPREAD LOVE RECORDS|🇧🇸,,28151,19CF86,drezfleu,https://pbs.twimg.com/profile_images/1053666804734803968/L101zLbf_normal.jpg,0,0,@jodibridge “If hov did you can too” like nah bro I cannot go back to the 80s sell coke start a label and release m… https://t.co/LsiOCZd594,,7236,2019-06-03 23:16:28 UTC,1135686719662108672,,,,
dope pictures from a dope generation 🕶️,,1,1DA1F2,oldschoolcool_,https://pbs.twimg.com/profile_images/942140008714121216/klR7k8U7_normal.jpg,0,C0DEED,"Teenager drinking Coke, eating Cheez-Its and reading in bed (1940s) via /r/OldSchoolCool https://t.co/7jui6BMjpZ",,10628,2019-06-03 23:16:27 UTC,1135686716432498688,,,,
"Late in the game mom, just trying to figure it out without losing all my hair or my mind",,3784,1DA1F2,justanoldmom,https://pbs.twimg.com/profile_images/934837198452609024/V7KZfDae_normal.jpg,0,C0DEED,"Oh god, this is how it ends. Slowly choking to death on a piece of fried chicken skin, chugging coke to stop coughi… https://t.co/PB2Kc2bj0p",,946,2019-06-03 23:16:27 UTC,1135686715190984704,,,,
King Eniwealth,,4570,FAB81E,aarinola_eniola,https://pbs.twimg.com/profile_images/1135202373914234881/xiAIM7nE_normal.jpg,0,0,"@Aim_Tha_Machine @No_manaz @thepreco9dayz Let me tell this today, as bitter as shwepes (Bitter Lemon) is the quanti… https://t.co/5wcy3F9AWX",,5038,2019-06-03 23:16:12 UTC,1135686652557430784,"Lagos, Nigeria",,,
Ad Age is a daily must-read for an influential audience of decision makers and disruptors across the marketing and media landscape. https://t.co/gGStxZxw1m,,2350,0099FF,adage,https://pbs.twimg.com/profile_images/912682094308012032/9QkafiSn_normal.jpg,0,FFFFFF,These Coke billboards point you to the nearest recycling bin https://t.co/V71E8abvg0 https://t.co/69DmTDiOCa,,119705,2019-06-03 23:16:06 UTC,1135686624904454144,"New York, NY",,,
"Silver Creek Elementary Principal, Wife, Champion for Kids, Runner, Hobby Farmer & Equine Enthusiast!",,4531,1DA1F2,MrsAmandaHeaton,https://pbs.twimg.com/profile_images/1119347785336332288/gyzQmr21_normal.jpg,0,C0DEED,@BallingerCarrie Listen... regular @McDonalds Coke is life!,,1211,2019-06-03 23:15:28 UTC,1135686468649836544,"Waco, KY",,,
"Pan Africanist,so passionate about farming.A Taurus🐂",,6809,1DA1F2,Imhotepk1,https://pbs.twimg.com/profile_images/1109389329548357634/kXG0Jlfp_normal.jpg,0,C0DEED,"@GuiVanVeen @mphikzo How is this nonsense got to do with Jamal Sia,an individual I referred you to in those Qoura a… https://t.co/h6nkfvncfO",,2836,2019-06-03 23:15:23 UTC,1135686446197747714,,,,
Owner of Playhouse productions/Indyshowcase & radio host. https://t.co/o9LZq6KgCL @TalkingWalkers @TalkingHell @marsvenusshow,,785,ABB8C2,KinteF,https://pbs.twimg.com/profile_images/1095958633198739457/SVGNRbLI_normal.jpg,0,FFFFFF,RUM AND COKE POPSICLES - Boozy Popsicles For Adults https://t.co/RydxyCLXye,,9758,2019-06-03 23:14:59 UTC,1135686344045236224,Los Angeles,,,
"northern ireland! Love techno, hardstyle and bit ot trance ! #GoHardOrGoHome !!!",,2002,1DA1F2,johnty84,https://pbs.twimg.com/profile_images/2757057052/8e17226e7f8820d59917bbd7ab04ae87_normal.jpeg,0,C0DEED,Is there anything sniffing coke alone ???,,15581,2019-06-03 23:14:56 UTC,1135686334750887936,Belfast,,,
motherTrUcker,,1584,1DA1F2,midnightcv,https://pbs.twimg.com/profile_images/1134244348328128514/Kz9NTqIF_normal.jpg,0,C0DEED,@BrennenTaylor yeah lemme get a big mac with a large fry and a large coke thank you sksk,,2360,2019-06-03 23:14:46 UTC,1135686289976713216,,,,
,,47,1DA1F2,melzisak_,https://pbs.twimg.com/profile_images/1119580135903068160/cFX4lTAJ_normal.jpg,0,C0DEED,Do vegans do coke,,60,2019-06-03 23:14:24 UTC,1135686199845240832,,,,
not for glory but for love 🌱// h ‘23,,37157,E81C4F,aynico_,https://pbs.twimg.com/profile_images/1129932875456028672/aza8suLG_normal.jpg,0,0,coke is bad,,27182,2019-06-03 23:14:20 UTC,1135686180094337025,BGA//DFW//BOS,,,
"College Student during the week and Hustling during the weekend ;)

Streamer on twitch!!!!!!!!
https://t.co/6SdM2lowjL

got an Insta so follow @abombawill12",,1,F0052C,abombawill12,https://pbs.twimg.com/profile_images/1118235941494317057/2lTqlKBI_normal.jpg,0,0,@VancityReynolds It makes me happier then an addict sniffing coke to see my favorite actor support such an amazing community!,,8,2019-06-03 23:14:14 UTC,1135686157222723584,"Iowa, USA",,,
King Eniwealth,,4570,FAB81E,aarinola_eniola,https://pbs.twimg.com/profile_images/1135202373914234881/xiAIM7nE_normal.jpg,0,0,"@Aim_Tha_Machine @No_manaz @thepreco9dayz Bros, I'm sure he has brainwashed my his pastor, can you image put ordina… https://t.co/ZYCrqdU3An",,5038,2019-06-03 23:14:03 UTC,1135686110640824320,"Lagos, Nigeria",,,
21 | avocados biggest fan,,2521,93A644,lemonsss_,https://pbs.twimg.com/profile_images/1084241495866126336/dkz4iedJ_normal.jpg,0,EEEEEE,"the nicest thing joes ever said to me: “you’re like coke, I have to have you to have a good time”",,21003,2019-06-03 23:14:00 UTC,1135686097693028352,,,,
"Vegas, Beer, Booze, Good Food & Hockey. Recovering BlackBerry user/abuser.",,12053,1B95E0,vespajet,https://pbs.twimg.com/profile_images/1005899489893232640/-u2vy7u6_normal.jpg,0,0,"@Super70sSports The one season I played Little League baseball, if you lost, you got a Coke and some candy from the… https://t.co/nmQJ4ayO3a",,21383,2019-06-03 23:13:43 UTC,1135686026175930368,Atlanta or Las Vegas,,,
,,3425,FAB81E,camesjooper,https://pbs.twimg.com/profile_images/1119322060876959745/_IpWdfoX_normal.jpg,0,0,College conservatives will deny a reusable straw then snort coke with the same rolled-up $1 bill they’ve had since freshman year,,724,2019-06-03 23:13:42 UTC,1135686022858235904,"Tempe, AZ",,,
Jesus is the answer|| certified personal trainer💪🏽|| 🌿......🍃.,,1132,1DA1F2,rachie_jrae,https://pbs.twimg.com/profile_images/1132381284657975298/6c_Ck1a-_normal.jpg,0,C0DEED,@abby_coke Experimental biology 🤦🏽‍♀️,,1975,2019-06-03 23:13:40 UTC,1135686012938739713,Jamaica,,,
I'm just an illegitimate love-child. Originality doesn't exist. Judging is natural. I'm real and unforgettable. No thanks to my parents.,,1426,2FC2EF,jawlovely,https://pbs.twimg.com/profile_images/1102807811313012738/EjKZn1yf_normal.jpg,0,181A1E,"Literally only got out of my house today for a Diet Coke from McDonald’s, what has happened to me?",,4031,2019-06-03 23:13:33 UTC,1135685986959142912,,,,
,,115,1DA1F2,meganflannery14,https://pbs.twimg.com/profile_images/1129007153711337473/etCOdfmN_normal.jpg,0,C0DEED,@annasukelly4 bevvy to mean means a double voddy coke 🤷‍♀️ maybe i'm just a alcholic ..,,17,2019-06-03 23:13:26 UTC,1135685956923744257,"North West, England",,,
oh nuts,,5577,1DA1F2,methzena,https://pbs.twimg.com/profile_images/1133018372034244608/EoIGmD1T_normal.jpg,0,C0DEED,id never do coke or heroin or start having casual sex because i know I'd like it too much and it would be a void id… https://t.co/gyqHKtviYd,,1448,2019-06-03 23:13:24 UTC,1135685949176893442,,,,
"LVL:19 ◇Josh◇ ||Kingdom Hearts, DBZ, Smash, Star Wars, Memes and My Cat||",,2863,91D2FA,BlueSkySoraYT,https://pbs.twimg.com/profile_images/1128818720846041088/GprsJ6hH_normal.jpg,0,0,Yea I'm not drinking Coke anymore but I like Wal-mart too much to stop shopping there https://t.co/uFgd0VkunV,,2089,2019-06-03 23:13:10 UTC,1135685888330129409,,,,
♪~ ᕕ(ᐛ)ᕗ,,65,91D2FA,mochi_coke,https://pbs.twimg.com/profile_images/1129522014044139520/87EOLcLz_normal.jpg,0,0,@OceanOrbsRBX my user is Rubxii,,68,2019-06-03 23:13:06 UTC,1135685869757710336,,,,
"Father. 
Hungry. 
Invisible.",,12296,0084B4,georgianroses,https://pbs.twimg.com/profile_images/1032858957193330689/LdB9jeVL_normal.jpg,0,FFFFFF,@Tesco Coke and chive... DON'T JUDGE ME,,34892,2019-06-03 23:12:51 UTC,1135685808525139970,London,,,
"Marketing Manager of @876ToGo 
IG: abby_coke",,12565,0084B4,abby_coke,https://pbs.twimg.com/profile_images/888079370753122305/gAS10xT7_normal.jpg,0,C0DEED,@rachie_jrae What's your major?,,41611,2019-06-03 23:12:32 UTC,1135685729764499456,Jamaica,,,
"Artist formerly known as...

Atlanta sports have proven I'm a masochist. I've proven I'm an asshole. Elliotts, Falcons, Jackets, United, Hawks, Panthers, Braves",,240,1DA1F2,gumby6111984,https://pbs.twimg.com/profile_images/1134855452976713728/yWHhZkyx_normal.jpg,0,C0DEED,@braves010 Only the coke at Bobby Dodd is better,,449,2019-06-03 23:12:18 UTC,1135685671966953472,"Dunwoody, GA",,,
,true,47,1DA1F2,melzisak_,https://pbs.twimg.com/profile_images/1119580135903068160/cFX4lTAJ_normal.jpg,0,C0DEED,Do vegans do coke,,60,2019-06-03 23:14:24 UTC,1135686199845240832,,,funny,this is funny
Owner of Playhouse productions/Indyshowcase & radio host. https://t.co/o9LZq6KgCL @TalkingWalkers @TalkingHell @marsvenusshow,true,785,ABB8C2,KinteF,https://pbs.twimg.com/profile_images/1095958633198739457/SVGNRbLI_normal.jpg,0,FFFFFF,RUM AND COKE POPSICLES - Boozy Popsicles For Adults https://t.co/RydxyCLXye,,9758,2019-06-03 23:14:59 UTC,1135686344045236224,Los Angeles,,funny,very funny
"Marketing Manager of @876ToGo 
IG: abby_coke",true,12565,0084B4,abby_coke,https://pbs.twimg.com/profile_images/888079370753122305/gAS10xT7_normal.jpg,0,C0DEED,@rachie_jrae What's your major?,,41611,2019-06-03 23:12:32 UTC,1135685729764499456,Jamaica,,not_funny,basic
"Artist formerly known as...

Atlanta sports have proven I'm a masochist. I've proven I'm an asshole. Elliotts, Falcons, Jackets, United, Hawks, Panthers, Braves",true,240,1DA1F2,gumby6111984,https://pbs.twimg.com/profile_images/1134855452976713728/yWHhZkyx_normal.jpg,0,C0DEED,@braves010 Only the coke at Bobby Dodd is better,,449,2019-06-03 23:12:18 UTC,1135685671966953472,"Dunwoody, GA",,not_funny,where's bobby dodd
"Manager of Information Technology for Medical Management Plus, LLC",true,25895,1DA1F2,jfmoody56,https://pbs.twimg.com/profile_images/729855549643362304/QHhl1kce_normal.jpg,0,C0DEED,Switch to 100% stevia instead of aspartame for diet drinks.  Splenda Diet Coke is my current favorite but not avail… https://t.co/QnxEzVp0EV,,19227,2019-06-03 23:17:00 UTC,1135686851153543168,"Hoover, Alabama, USA",,funny,reason
"LVL:19 ◇Josh◇ ||Kingdom Hearts, DBZ, Smash, Star Wars, Memes and My Cat||",true,2863,91D2FA,BlueSkySoraYT,https://pbs.twimg.com/profile_images/1128818720846041088/GprsJ6hH_normal.jpg,0,0,Yea I'm not drinking Coke anymore but I like Wal-mart too much to stop shopping there https://t.co/uFgd0VkunV,,2089,2019-06-03 23:13:10 UTC,1135685888330129409,,,not_funny,coca cola is great!
Heyo nigguhs *smile* follow for a follow back!! #imperfect #young #wild #coolkid #believer #swifter #smiler #directioner #Jelena #Dreamer,true,421,00BEA3,MileySarah,https://pbs.twimg.com/profile_images/590438412022370304/VhsgqKwv_normal.jpg,0,FF9800,"I shall go bite on a big chicken leg and wash it down with some diet coke and ignore all yall dumb asses tryna get attention. .

#PeaceOutt",,2499,2019-06-03 23:17:17 UTC,1135686923853410304,georgetown guyana,,not_funny,someone angry
not for glory but for love 🌱// h ‘23,true,37157,E81C4F,aynico_,https://pbs.twimg.com/profile_images/1129932875456028672/aza8suLG_normal.jpg,0,0,coke is bad,,27182,2019-06-03 23:14:20 UTC,1135686180094337025,BGA//DFW//BOS,,not_funny,it is